Scenario Group	Scenario	Train	Train samples/user	Test	Test samples/user	Notes	k=1	k=2	k=3	k=4	k=5	Best Model
		[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9809	0.9918	0.9945	0.9945	0.9945	
		[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={F}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9617	0.9863	0.9918	0.9945	0.9973	
		[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	train=122, test=122	0.9617	0.9836	0.9973	1.0000	1.0000	
		[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	train=122, test=122	0.9590	0.9863	0.9918	0.9918	0.9918	
		mean					0.9563	0.9818	0.9897	0.9927	0.9948	
		std					0.0197	0.0111	0.0077	0.0066	0.0057	
												
Cross platform, cross topic (2→1)	Scenario 4.2	[Pi, Vj, Sk] i={F, I}, j ={1}, k={1 ,2}	4	[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	train=244, test=122	0.9863	0.9945	0.9973	1.0000	1.0000	RandomForest
		[Pi, Vj, Sk] i={F, I}, j ={2}, k={1 ,2}	4	[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	train=244, test=122	0.9918	0.9918	0.9918	0.9945	0.9973	
		[Pi, Vj, Sk] i={F, I}, j ={3}, k={1 ,2}	4	[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	train=244, test=122	0.9973	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={F, I}, j ={1}, k={1 ,2}	4	[Pi, Vj, Sk] i={T}, j ={3}, k={1 ,2}	2	train=244, test=122	1.0000	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={F, I}, j ={2}, k={1 ,2}	4	[Pi, Vj, Sk] i={T}, j ={1}, k={1 ,2}	2	train=244, test=122	1.0000	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={F, I}, j ={3}, k={1 ,2}	4	[Pi, Vj, Sk] i={T}, j ={2}, k={1 ,2}	2	train=244, test=122	0.9781	0.9918	0.9973	0.9973	1.0000	
		[Pi, Vj, Sk] i={F, T}, j ={1}, k={1 ,2}	4	[Pi, Vj, Sk] i={I}, j ={2}, k={1 ,2}	2	train=244, test=122	0.9781	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={F, T}, j ={2}, k={1 ,2}	4	[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	train=244, test=122	0.9645	0.9754	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={F, T}, j ={3}, k={1 ,2}	4	[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	train=244, test=122	1.0000	1.0000	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={F, T}, j ={1}, k={1 ,2}	4	[Pi, Vj, Sk] i={I}, j ={3}, k={1 ,2}	2	train=244, test=122	0.9891	0.9973	1.0000	1.0000	1.0000	
		[Pi, Vj, Sk] i={F, T}, j ={2}, k={1 ,2}	4	[Pi, Vj, Sk] i={I}, j ={1}, k={1 ,2}	2	train=244, test=122	0.9891	1.0000	1.0000	1.0000	1.0000	
