model,experiment,random_seed,early_stopping,k_value,train_top_k_accuracy,test_top_k_accuracy,model_path,hyperparameters,timestamp
KNN,S1_vs_S2_P1,42,True,1,0.40625,0.22448979591836735,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/knn_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': -1, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",2025-08-14_220927
KNN,S1_vs_S2_P1,42,True,2,0.75,0.5408163265306123,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/knn_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': -1, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",2025-08-14_220927
KNN,S1_vs_S2_P1,42,True,3,1.0,0.6632653061224489,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/knn_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': -1, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",2025-08-14_220927
KNN,S1_vs_S2_P1,42,True,4,1.0,0.7142857142857143,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/knn_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': -1, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",2025-08-14_220927
KNN,S1_vs_S2_P1,42,True,5,1.0,0.7448979591836735,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/knn_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': -1, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",2025-08-14_220927
LogisticRegression,S1_vs_S2_P1,42,True,1,0.5,0.2857142857142857,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/logisticregression_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",2025-08-14_220927
LogisticRegression,S1_vs_S2_P1,42,True,2,0.71875,0.5102040816326531,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/logisticregression_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",2025-08-14_220927
LogisticRegression,S1_vs_S2_P1,42,True,3,0.8125,0.6428571428571429,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/logisticregression_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",2025-08-14_220927
LogisticRegression,S1_vs_S2_P1,42,True,4,0.9375,0.8163265306122449,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/logisticregression_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",2025-08-14_220927
LogisticRegression,S1_vs_S2_P1,42,True,5,0.9375,0.8367346938775511,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/logisticregression_S1_vs_S2_P1_2025-08-14_220927_seed42_early_stop.pkl,"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'deprecated', 'n_jobs': -1, 'penalty': 'l2', 'random_state': 42, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",2025-08-14_220927
RandomForest,S1_vs_S2_P1,123,True,1,0.84375,0.42857142857142855,experiment_results_statistical_IL_top_10_video_2025-08-14_220927_early_stop/randomforest_S1_vs_S2_P1_2025-08-14_220927_seed123_early_stop.pkl,"{'bootstrap': False, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",2025-08-14_220927
